institution_id,institution_name,institution_type
01850E,Seventh-day Adventist Schools (Western Australia) Limited,Private
01854A,Dentos Pty Ltd,Private
01855M,Kingsway Christian Education Association Inc.,Private
01856K,Wells International College Pty Ltd,Private
01857J,Monash College Pty Ltd,Private
01859G,Headmasters Academy Pty Ltd,Private
01867G,Australian Education Group Pty Ltd,Private
01880K,C3 Church Sydney Ltd,Private
01884F,Dance Factory Pty Ltd,Private
01888B,Asian Pacific Institute,Private
01894D,Christian Resource Ministries Incorporated,Private
01899K,Canterbury Business College Pty Ltd,Private
01905F,Oceania Polytechnic Institute of Education Pty. Ltd.,Private
01912G,RMIT Training Pty Ltd,Private
01917B,Infotech Professionals Pty Ltd,Private
01933B,Tristar Aviation Company Pty Ltd,Private
01938G,Saint Stephen's College Ltd,Private
01941B,Cairns Beauty Academy Pty Ltd,Private
01942A,Caprock International Pty Ltd,Private
01953J,Clarendon Business College Pty Ltd,Private
01958D,Waverley Christian College Inc,Private
01968B,Thomas Carr College Tarneit,Private
01984B,Association for Christian Education Inc.,Private
01985A,Sunraysia Institute of TAFE,Government
01994M,Magill College Pty Ltd,Private
02015K,Bureau of Meteorology,Government
02025G,All Souls St Gabriels School Inc,Private
02026G,Youth with a Mission Canberra Inc.,Private
02028E,Supreme Business College Pty Ltd,Private
02029D,All Saints' College Inc.,Private
02035F,Intech Institute of Technology Pty Ltd,Private
02042G,Colleges of Business and Technology (WA) Pty Ltd,Private
02044E,Victorian Institute of Technology Pty Ltd,Private
02103K,Clip Joint Academy of Hairdressing Pty Ltd as trustee for The EDC Unit Trust,Private
02117D,Speak College Pty Ltd,Private
02123F,Youth with a Mission (Perth) Inc,Private
02137M,ILSC (Brisbane) Pty Ltd,Private
02139J,Language Links International Pty Ltd,Private
02140E,Sydney School of Business and Technology Pty Ltd,Private
02155J,Academy of Interactive Technology,Private
02160A,Unity College Australia Incorporated,Private
02177C,Sheldon College Ltd,Private
02184D,Caroline Chisholm Catholic College,Private
02189K,Ormiston College Ltd,Private
02193C,South Australian Institute of Business and Technology Pty Ltd,Private
02200J,Victory Life International Bible Training Centre Incorporated,Private
02201G,LCI Melbourne Pty Ltd,Private
02205D,YWAM Townsville Assoc. Inc.,Private
02209M,Our Lady of the Sacred Heart College,Private
02214C,Inter-Continental Colleges Pty Ltd,Private
02224A,Leo Cussen Institute,Private
02225M,University of Southern Queensland,Government
02227J,Mercy Diocesan College,Private
02233M,Sheila Baxter Training Centre Pty Ltd,Private
02260G,The Hills Grammar School,Private
02266B,THE ATHENA SCHOOL LIMITED,Private
02267A,St Paul's Grammar School Penrith Ltd,Private
02268M,Kincoppal - Rose Bay School,Private
02269K,The Council of Macarthur Anglican School,Private
02270F,The Council of Abbotsleigh,Private
02273C,The Association for Christian Education of Blacktown Ltd,Private
02274B,The Uniting Church in Australia Property Trust (Synod of Victoria and Tasmania),Private
02275A,Wenona School Ltd,Private
02276M,The Council of St Andrew's Cathedral School,Private
02277K,The Presbyterian Church (New South Wales) Property Trust,Private
02280D,The Presbyterian Church (New South Wales) Property Trust,Private
02282B,Glenaeon Rudolf Steiner School Limited,Private
02284M,Kambala,Private
02285K,The Armidale School,Private
02287G,The Presbyterian Church (New South Wales) Property Trust,Private
02290B,Council of Newington College,Private
02293K,The McDonald College Limited,Private
02295G,The Presbyterian Church (New South Wales) Property Trust,Private
02298E,Cranbrook School,Private
02300E,The Council of The Illawarra Grammar School,Private
02301D,St John's Grammar School Inc,Private
02306K,Ravenswood School For Girls,Private
02308G,The Council of Trinity Grammar School,Private
02312A,Blue Mountains Grammar School Ltd,Private
02315J,The William Branwhite Clarke College Council,Private
02316G,Calrossy Anglican School,Private
02318F,Meriden School,Private
02320A,The Council of Tara Anglican School for Girls,Private
02322K,"The Council of St Catherine's School, Waverley",Private
02326F,The Council of the King's School,Private
02328D,MLC School,Private
02333G,Bishop Druitt College Council Inc,Private
02340G,Pacific Group of Christian Schools Limited,Private
02342F,Coptic Orthodox Church (NSW) Property Trust,Private
02344D,Newcastle Grammar School Ltd,Private
02353C,Sydney English Academy Pty Ltd,Private
02362B,Lexis Sydney Education Pty Ltd,Private
02368G,PAXMIL Education Holdings Pty Ltd,Private
02370B,Dynamic Management Group Pty Ltd,Private
02375G,University Senior College at Adelaide University Inc,Private
02379D,German School Johannes Gutenberg,Private
02380M,Le Cordon Bleu Australia Pty Limited,Private
02392G,A.M.T. Helicopters Pty Ltd,Private
02398A,Academies Australasia Institute Pty Limited,Private
02399M,Academy of English Pty Ltd,Private
02401M,Australian International High School Pty Limited,Private
02402K,Endeavour College Inc,Private
02403J,The Queensland Institute of Commerce and Technology Pty Ltd,Private
02406F,The Academy of Interactive Entertainment Ltd,Private
02408D,Australian College of Technology Pty Ltd,Private
02411J,Box Hill Institute,Government
02423E,The Corporation of the Synod of the Diocese of Brisbane,Private
02425C,Aviation Australia Pty Ltd,Government
02426B,Kaplan Business School Pty Ltd,Private
02427A,Ozford College Pty Ltd,Private
02439G,Academies Australasia Polytechnic Pty Limited,Private
02447G,The Corporation of the Synod of the Diocese of Brisbane,Private
02448G,Alia College Ltd,Private
02449F,Emmanuel Anglican College Council,Private
02450B,Education Access (Australia) Pty Ltd,Private
02462J,Burleigh Heads Language Centre Pty Ltd,Private
02468C,Geraldton Grammar School Inc.,Private
02471G,Manageering Pty Ltd,Private
02475D,Victoria University,Government
02483D,Australian Child Care Career Options (ACCCO) Pty Ltd,Private
02485B,Blackfriars Priory School,Private
02491D,Top Education Group Ltd,Private
02494A,Rabarl Pty Ltd,Private
02499G,Shane Global Village Brisbane Pty Ltd,Private
02500G,Whitsundays College of English Pty Ltd,Private
02501G,Ozford English Language Centre Pty Ltd,Private
02506B,Australian National Institute of Business & Technology Pty Ltd,Private
02522B,ACMUSE Australia Pty Ltd,Private
02527G,The Moerlina School Inc.,Private
02529F,Union Institute of Language - Springfield Campus Pty Ltd,Private
02530B,Moorabbin Aviation Services Pty Ltd,Private
02534J,USQ International College Pty Ltd,Private
02537F,Presbyterian and Methodist Schools Association,Private
02543G,Kingston International College Pty Ltd,Private
02551G,English Language Company Australia Pty Ltd,Private
02552G,Brighton Educational Services Pty Ltd,Private
02564C,Elizabeth Bence Pty Ltd,Private
02571D,Group Colleges Australia Pty Ltd,Private
02598D,Our Lady of the Sacred Heart Catholic College,Private
02599C,Australian Academy of Commerce Pty Ltd,Private
02606J,AH & B College Pty Ltd,Private
02607G,Business Institute of Australia Pty Ltd,Private
02615G,Brisbane College of Australia Pty Ltd,Private
02622J,Seventh-day Adventist Schools (Greater Sydney) Ltd,Private
02623G,IH Sydney Training Services Pty Ltd,Private
02634E,Australian Academy of Vocational Education and Trades Pty Ltd,Private
02639M,Holmes Institute Pty Ltd,Private
02644C,Education Centre of Australia Pty Ltd,Private
02645B,A.I.W.T. Pty. Ltd.,Private
02647M,Australian Performing Arts Grammar School Limited,Private
02649J,Flight Training Adelaide Pty Ltd,Private
02650E,Australian College of Theology Limited,Private
02657J,Macquarie Education Group Australia Pty Ltd,Private
02658G,Logic Entity Australia Pty Ltd,Private
02660C,International Film School Sydney Pty Ltd,Private
02663M,Browns English Language School Pty Ltd,Private
02664K,Excelsia College,Private
02668F,Pacific College Pty Ltd,Private
02672K,Greenwich College Pty Ltd,Private
02674G,Australian Association for International Education Inc,Private
02678D,Victory Institute of Vocational Education Pty Ltd,Private
02679C,Australian Online Institute Pty Ltd,Private
02684F,George Education Group Pty Ltd,Private
02695C,Imagine Education Australia Pty Ltd as trustee for The Imagine Education Australia Unit Trust,Private
02708C,Seventh-Day Adventist Schools (South Queensland) Limited,Private
02709B,Trinity College Senior School,Private
02716C,Della International College Pty Ltd,Private
02723D,UOWC Ltd,Private
02724C,Australian International Islamic College Board Inc,Private
02727M,Holmes Institute Pty Ltd,Private
02731D,Avondale University,Private
02736K,Strathfield College Pty Ltd,Private
02737J,Institute of Training and Further Education Pty Ltd,Private
02738G,Campion Institute Limited,Private
02743M,LYCEE CONDORCET THE INTERNATIONAL FRENCH SCHOOL OF SYDNEY LTD,Private
02746G,Australia Moreton Education Group Pty Ltd,Private
02747G,Onyx Developments Pty Ltd,Private
02748F,Jasagency Pty. Ltd.,Private
02751M,UPC Pty Ltd,Private
02754G,PGA OF Australia Institute Pty Ltd,Private
02759C,Kooralbyn Campus Inc,Private
02762G,Lifetime International.Com Pty Ltd,Private
02763G,Queensland International Study Group Pty Ltd,Private
02766D,Westminster College Pty Ltd,Private
02767C,Holmes Institute Pty Ltd,Private
02771G,Precept Education Pty Ltd,Private
02778M,MIT Institute Pty Ltd,Private
02790D,Hays International College Pty Ltd,Private
02799F,St George College Inc,Private
02800G,Warwick Institute of Australia Pty Ltd,Private
02804C,EQUALS International (Aust) Pty Ltd,Private
02813B,Niche Education Group Pty Ltd,Private
02815M,Menzies Institute of Technology Pty Ltd,Private
02819G,Modern Communications Australia Pty Ltd,Private
02826G,Sragill Pty Ltd,Private
02835G,Sunshine College of Management Pty Ltd,Private
02836F,Lonsdale Institute Pty Ltd,Private
02838D,Kontea Pty Ltd,Private
02847C,Bayside College Pty Ltd,Private
02851G,Western Sydney University Enterprises Pty Limited,Private
02855C,KAPS Institute of Management Pty Ltd as trustee for the KAPS Institute of Management Unit Trust,Private
02856B,Nova International Education Pty Ltd,Private
02858M,BJSB Pty Ltd,Private
02863C,WHITEHOUSE INSTITUTE PTY LTD,Private
02864B,International College of Advanced Education Pty Ltd,Private
02868J,Australian Institute of Technical Training Pty Ltd,Private
02869G,Evolution Systems for Training & Development Pty Ltd,Private
02870D,Crown Institute of Business and Technology Pty Ltd,Private
02871C,Sydney International Academy Pty Ltd,Private
02880B,The Quality Training and Hospitality College Pty Ltd,Private
02885G,Australian Language Schools Pty Ltd,Private
02886G,Melbourne College of Hairdressing Beauty Therapy & Natural Medicine Pty Ltd,Private
02892J,ITHEA Corporation Pty Ltd,Private
02893G,Yorke Institute Pty Ltd,Private
02894G,Inforum Australia Pty Ltd,Private
02898C,Everthought College of Construction Pty Ltd.,Private
02899B,Kingston Training and Employment Pty Ltd,Private
02908F,Zarah Institute of Education Pty Ltd,Private
02910A,Apple Study Group Pty Ltd,Private
02914G,ICHM Pty Ltd,Private
02915G,Durban International College Pty Ltd,Private
02919C,Federation Technology Institute Pty Ltd,Private
02924F,AUSTRALIAN ACADEMY OF HIGHER LEARNING PTY LTD,Private
02925E,Education Training & Employment Australia Pty. Ltd.,Private
02926D,Pass Global Pty Ltd,Private
02931G,Hawthorn Learning Pty Ltd,Private
02933E,Australasian Lawrence Aged Care College Pty Ltd,Private
02934D,Southern Cross Education Institute Pty Ltd,Private
02938M,Canterbury Technical Institute Pty Ltd,Private
02939K,College of Complementary Medicine NSW Pty Ltd,Private
02943C,Covenant College Tuggeranong ACT Association Incorporated,Private
02945A,NEGS LIMITED,Private
02946M,Universal Institute of Technology Pty Ltd,Private
02948J,Sydney College of Divinity Ltd,Private
02954M,Coolum Beach Christian College Ltd,Private
02961A,Iascend Polytechnic Pty Ltd,Private
02966G,Global Education Ministry Incorporated,Private
02970M,Angad Australian Institute of Technology Pty Ltd,Private
02974G,Pacific Flight Services Pty Ltd,Private
02975F,Astute Training Pty Ltd,Private
02978C,Australian College of Commerce & Information Technology Pty Ltd,Private
02983F,J & J Aviation Pty Ltd,Private
02992E,Queens Group Pty Ltd,Private
02995B,Impact English College Pty Ltd,Private
02996A,Star Gazers Education Pty Ltd,Private
02999J,KFQ Partners Pty Ltd,Private
03000J,Colleges Australia International Pty Ltd,Private
03002G,GREENHILL EDUCATION GROUP PTY LTD,Private
03005D,Ace Sports Pty Ltd,Private
03009M,Australian National College Pty Ltd,Private
03010G,Malekhu Investments Pty Ltd,Private
03013D,Australian Technical And Management College Pty Ltd,Private
03015B,New Cambridge College Sydney Inc,Private
03016A,School of Hairdressing Pty Ltd,Private
03017M,Pearson Aviation Pty Ltd,Private
03019J,Byron ELA Pty Ltd,Private
03020E,TAFE Queensland,Government
03021D,Crumps International Pty Ltd,Private
03024A,"Melbourne City Institute of Education Pty Ltd, as trustee for MCIE Unit Trust",Private
03029G,Australian Careers College Pty Ltd,Private
03033M,St Ursula's College Toowoomba,Private
03034K,Sheffield College of Technology Pty Ltd,Private
03039E,Imperial Education Group Pty Ltd,Private
03041M,TasTAFE,Government
03042K,Universal Network of Infotech Pty Ltd,Private
03047E,Stanley International College Pty Ltd,Private
03048D,Asia Pacific International College Pty Ltd,Private
03051J,Perth College Of Business and Technology Pty Ltd,Private
03052G,Golf Education Australia Pty Ltd,Private
03053G,Australian Ideal College Pty Ltd,Private
03057C,International College of Capoeira Pty Ltd,Private
03069K,Australian Professional Education Institute Pty Ltd,Private
03071E,Australian Learning Group Pty Ltd,Private
03076M,Bandicoot Group Pty Ltd,Private
03082B,Australian College of Trade Pty Ltd,Private
03090B,Acumen Education Pty Ltd,Private
03091A,AEC Consulting Pty Ltd,Private
03093K,Spencer College Pty Ltd,Private
03094J,Envirotech Education Pty Ltd,Private
03105M,King's Institute of Management and Technology Pty Ltd,Private
03113M,New England Institute of Technology Pty Ltd,Private
03122K,St George & Sutherland Community College Incorporated,Private
03126F,Australian Adelaide International College Pty Ltd,Private
03127E,Kaplan Higher Education Pty Ltd,Private
03133G,Adelaide Institute of Business and Technology Pty Ltd,Private
03134F,Australian National College of English Pty. Ltd.,Private
03136D,Barkly International College Pty. Ltd.,Private
03142F,Ashton College Pty. Ltd.,Private
03147A,Australian Institute of Higher Education Pty Ltd,Private
03149K,International Institute of Management Pty Ltd,Private
03152D,Pax Institute of Education Pty Ltd,Private
03155A,The College of Law Limited,Private
03156M,Apex Institute of Education Pty Ltd,Private
03157K,LaTrobe International Galleries Pty. Ltd.,Private
03159G,Media Makeup Academy and Agency Pty Ltd,Private
03164M,Australian College of Technology and Business Pty Ltd,Private
03167G,Angel United Group Pty. Ltd.,Private
03171A,Australian Institute of Business and Management Pty Ltd,Private
03173K,ALIF Australia Pty Ltd,Private
