institution_id,institution_name,course_id,course_name,foe1_broad_field,foe1_narrow_field,foe1_detailed_field,course_level,course_duration,tuition_fee,non_tuition_fee,total_course_cost
00025B,The University of Queensland,013040G,Bachelor of Engineering,03 - Engineering and Related Technologies,0300 - Engineering and Related Technologies,"030000 - Engineering and Related Technologies, n.f.d.",Bachelor Degree,208,92392.0,0.0,92392.0
00025B,The University of Queensland,013827E,Bachelor of Science/Bachelor of Arts,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,208,184154.0,11178.0,195332.0
00025B,The University of Queensland,013832G,Graduate Certificate in Environmental Management,"05 - Agriculture, Environmental and Related Studies",0509 - Environmental Studies,"050901 - Land, Parks and Wildlife Management",Graduate Certificate,26,20968.0,646.0,21614.0
00025B,The University of Queensland,019886A,Bachelor of Business Management,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Bachelor Degree,156,137532.0,3091.0,140623.0
00025B,The University of Queensland,020137F,Bachelor of Arts/Bachelor of Education (Secondary),09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,208,150837.0,9048.0,159885.0
00025B,The University of Queensland,020139D,Graduate Certificate in Business Administration,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Graduate Certificate,26,27528.0,586.0,28114.0
00025B,The University of Queensland,022210G,Graduate Diploma in Business Administration,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Graduate Diploma,52,56708.0,1129.0,57837.0
00025B,The University of Queensland,023257G,Bachelor of Business Management/Bachelor of Commerce,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Bachelor Degree,234,86332.0,0.0,86332.0
00025B,The University of Queensland,024644K,Master of Laws,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Masters Degree (Coursework),52,44496.0,1129.0,45625.0
00025B,The University of Queensland,024647G,Graduate Diploma in Public Health,06 - Health,0613 - Public Health,"061300 - Public Health, n.f.d.",Graduate Diploma,52,35811.0,1129.0,36940.0
00025B,The University of Queensland,025968D,Graduate Certificate in Urban and Regional Planning,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Graduate Certificate,26,20968.0,646.0,21614.0
00025B,The University of Queensland,025980G,Graduate Diploma in Urban and Regional Planning,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Graduate Diploma,52,43194.0,1189.0,44383.0
00025B,The University of Queensland,025992D,Bachelor of Journalism,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,Bachelor Degree,156,111299.0,3091.0,114390.0
00025B,The University of Queensland,025998J,Bachelor of Social Science,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,156,105237.0,3091.0,108328.0
00025B,The University of Queensland,026000G,Master of Clinical Psychology,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Masters Degree (Coursework),104,89816.0,2081.0,91897.0
00025B,The University of Queensland,027273G,Bachelor of Information Technology/Bachelor of Arts,02 - Information Technology,0200 - Information Technology,"020000 - Information Technology, n.f.d.",Bachelor Degree,208,189543.0,6848.0,196391.0
00025B,The University of Queensland,027288A,Study Abroad,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",Non AQF Award,52,27150.8,663.0,27813.8
00025B,The University of Queensland,029162K,Master of International Economics and Finance,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Masters Degree (Coursework),78,67192.0,1665.0,68857.0
00025B,The University of Queensland,029209M,Bachelor of Arts/Bachelor of Social Science,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",Bachelor Degree,208,150837.0,9048.0,159885.0
00025B,The University of Queensland,029214C,Bachelor of Journalism/Bachelor of Arts,10 - Creative Arts,1007 - Communication and Media Studies,100703 - Journalism,Bachelor Degree,208,152937.0,9048.0,161985.0
00025B,The University of Queensland,030134D,Graduate Certificate in Agribusiness,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,Graduate Certificate,26,21728.0,586.0,22314.0
00025B,The University of Queensland,030142D,Master of Agribusiness,08 - Management and Commerce,0803 - Business and Management,080321 - Farm Management and Agribusiness,Masters Degree (Coursework),78,67791.0,1665.0,69456.0
00025B,The University of Queensland,031212J,Master of Mental Health,06 - Health,0613 - Public Health,061309 - Community Health,Masters Degree (Coursework),78,52191.0,1557.0,53748.0
00025B,The University of Queensland,034026J,Graduate Certificate in Biotechnology,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,Graduate Certificate,26,20968.0,586.0,21554.0
00025B,The University of Queensland,034030B,Graduate Certificate in Molecular Biology,01 - Natural and Physical Sciences,0109 - Biological Sciences,010901 - Biochemistry and Cell Biology,Graduate Certificate,26,20968.0,586.0,21554.0
00025B,The University of Queensland,034034J,Master of Biotechnology,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,Masters Degree (Coursework),78,65420.0,1665.0,67085.0
00025B,The University of Queensland,034037F,Master of Molecular Biology,01 - Natural and Physical Sciences,0109 - Biological Sciences,010901 - Biochemistry and Cell Biology,Masters Degree (Coursework),78,65420.0,1665.0,67085.0
00025B,The University of Queensland,034046E,Graduate Diploma in Magnetic Resonance Technology,06 - Health,0615 - Radiography,061501 - Radiography,Graduate Diploma,52,43194.0,1129.0,44323.0
00025B,The University of Queensland,034047D,Master of Magnetic Resonance Technology,06 - Health,0615 - Radiography,061501 - Radiography,Masters Degree (Coursework),78,65420.0,1665.0,67085.0
00025B,The University of Queensland,034052G,Graduate Diploma in Biotechnology,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019905 - Food Science and Biotechnology,Graduate Diploma,52,43194.0,1129.0,44323.0
00025B,The University of Queensland,034055D,Graduate Diploma in Molecular Biology,01 - Natural and Physical Sciences,0109 - Biological Sciences,010901 - Biochemistry and Cell Biology,Graduate Diploma,52,43194.0,1129.0,44323.0
