location_name,address_line_1,city,state,postcode
Adelaide College of the Arts,39 Light Sq,ADELAIDE,SA,5000
Barossa Valley Campus,74 Old Kapunda Rd,NURIOOTPA,SA,5355
Gilles Plains Campus,33 Blacks Rd,GILLES PLAINS,SA,5086
Regency Park Campus,137 Days Rd,REGENCY PARK,SA,5010
"The University of Adelaide, North Terrace",230 North Tce,AUSTRALIA,SA,5005
Tonsley Campus,1284 South Rd,CLOVELLY PARK,SA,5042
Urrbrae Campus,505 Fullarton Rd,NETHERBY,SA,5062
South Australian College of English Pty Ltd,47 Waymouth St,Adelaide,SA,5000
"Tower 4, Level 5, World Trade Centre, 18-38 Siddeley Street, Melbourne, Victoria 3005",18 Siddeley St,Melbourne,VIC,3005
The University of New South Wales,High St,Kensington,NSW,2052
UNSW Art & Design,Cnr of Oxford St and Grenns Rd,Paddington,NSW,2021
UNSW Canberra,Northcott Dr,Canberra,ACT,2600
UNSW Canberra City,37 Constitution Avenue,Reid,ACT,2612
University of Technology Sydney (City Campus),1 Broadway,HAYMARKET,NSW,2007
UTS Moore Park Precinct,Sydney Cricket Grounds,Moore Park,NSW,2021
UOW Bega Valley,PO Box 1020,BEGA,NSW,2550
UOW Eurobodalla,Batemans Bay Education Centre,Batmans,NSW,2536
UOW Liverpool,33 Moore St,Liverpool,NSW,2170
UOW Shoalhaven,University of Wollongong,Nowra Distribution Centre,NSW,2541
UOW Southern Highlands,University Building,Moss Vale,NSW,2577
UOW Sutherland,University of Wollongong,Loftus,NSW,2232
UOW Sydney CBD,Gateway Building,Sydney,NSW,2000
UOW Wollongong,Northfields Ave,WOLLONGONG,NSW,2522
Australian Technical and Management College Pty Ltd - Melbourne (Bourke),470 Bourke Street,MELBOURNE,VIC,3000
Australian Technical and Management College Pty Ltd - Sydney,"Level 9, 540 George St",Sydney,NSW,2000
Federation University Ballarat,28 University Dr,BALLARAT,VIC,3353
Federation University Berwick,100 Clyde Rd,Berwick,VIC,3806
Federation University Brisbane,Brisbane Centre,Brisbane,QLD,4000
Federation University Gippsland,Northways Rd,Churchill,VIC,3350
International Institute of Business and Information Technology (IIBIT Adelaide),"Level 3,6 127 Rundle Mall",Adelaide,SA,5000
International Institute of Business and Information Technology (IIBIT Sydney),841 George St,Sydney,NSW,2000
Melbourne Institute of Technology (Melbourne),288 La Trobe St,MELBOURNE,VIC,3000
Melbourne Institute of Technology (MIT Sydney),Level 7,Sydney,NSW,2000
The University of Newcastle (Callaghan),University Dr,CALLAGHAN,NSW,2308
The University of Newcastle (Central Coast),10 Chittaway Rd,Ourimbah,NSW,2258
The University of Newcastle (Gosford),77a Holden Street,Gosford,NSW,2250
The University of Newcastle (Newcastle City),Cnr King and Auckland St,Newcastle,NSW,2300
The University of Newcastle (Sydney),55 Elizabeth St,Sydney,NSW,2000
"The University of Newcastle Language Centre, Callaghan (ELICOS Operations)",University Dr,CALLAGHAN,NSW,2308
"The University of Newcastle Language Centre, Sydney (ELICOS Operations)",55 Elizabeth St,SYDNEY,NSW,2000
University of Newcastle College of International Education (UNCIE),NUSpace,Newcastle,NSW,2300
Croydon Campus 12-50 Norton Road Croydon Swinburne University,John St,Hawthorn,VIC,3122
Hawthorn Campus John Street Hawthorn Swinburne University,John St,HAWTHORN,VIC,3122
"Level 5 and 6, 1-3 Fitzwilliam Street, Parramatta","Level 5 and 6, 1 Fitzwilliam St",Parramatta,NSW,2150
"Swinburne College Pty Ltd, Hawthorn Campus, John Street Hawthorn",John St,Hawthorn,VIC,3122
Swinburne University of Technology  NICA Prahran,39-59 Green St,PRAHRAN,VIC,3181
Wantirna Campus 369 Stud Road Wantirna Swinburne University,369 Stud Rd,Wantirna,VIC,3122
Centre for Regional and Rural Futures (Deakin University),86 Research Station Road,Hanwood,NSW,2680
Deakin University,221 Burwood Hwy,BURWOOD,VIC,3125
